,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
371,corigliano calabro,27.0,IT,1566177412,65.0,39.6,16.52,69.01,1.01
372,poum,0.0,MK,1566177415,71.0,41.28,20.71,53.6,5.82
373,achutupo,,,,,,,,
374,durania,40.0,CO,1566177420,51.0,7.71,-72.66,86.0,16.11
375,nanakuli,40.0,US,1566177423,51.0,21.39,-158.15,91.4,8.05
376,tabou,56.0,CI,1566177426,91.0,4.42,-7.36,73.74,4.79
377,haines junction,100.0,CA,1566177429,46.0,60.75,-137.51,44.22,9.22
378,beringovskiy,27.0,RU,1566177432,58.0,63.05,179.32,63.66,3.8
379,baturaden,79.0,ID,1566177434,79.0,-7.32,109.23,71.76,3.85
380,lowestoft,0.0,GB,1566177437,76.0,52.48,1.75,57.99,12.75
381,atambua,0.0,ID,1566177440,73.0,-9.11,124.89,77.88,8.66
382,aksu,75.0,KZ,1566177443,87.0,52.04,76.93,60.8,2.24
383,bosaso,0.0,SO,1566177446,63.0,11.28,49.18,86.7,5.86
384,griffith,75.0,AU,1566177448,75.0,-34.29,146.06,48.0,17.22
385,sistranda,0.0,NO,1566177451,76.0,63.73,8.83,60.01,11.41
386,pevek,100.0,RU,1566177454,97.0,69.7,170.27,40.8,3.98
387,romitan,0.0,UZ,1566177457,59.0,39.93,64.38,64.4,9.17
388,mitsamiouli,20.0,KM,1566177459,73.0,-11.38,43.28,69.8,4.7
389,japura,50.0,ID,1566177462,78.0,-0.42,102.29,71.58,2.13
390,brazzaville,0.0,CD,1566177465,73.0,-4.27,15.27,75.2,3.36
391,mrirt,,,,,,,,
392,aklavik,90.0,CA,1566177470,93.0,68.22,-135.01,37.4,5.82
393,bartica,20.0,GY,1566177473,100.0,6.41,-58.62,75.2,2.24
394,katsuura,75.0,JP,1566177476,78.0,33.93,134.5,86.0,2.24
395,aykhal,0.0,RU,1566177479,47.0,65.95,111.51,57.2,4.47
396,saint george,0.0,GR,1566177482,82.0,39.45,22.34,66.2,1.72
397,kuche,,,,,,,,
398,bonnyville,75.0,CA,1566177304,51.0,54.27,-110.74,59.0,11.41
399,isangel,20.0,VU,1566177490,50.0,-19.55,169.27,77.0,17.22
400,northam,0.0,AU,1566177493,93.0,-31.65,116.67,46.4,4.7
401,kjopsvik,96.0,NO,1566177496,100.0,68.1,16.37,55.0,1.12
402,ravar,0.0,IR,1566177498,33.0,31.27,56.81,58.62,2.51
403,aras,75.0,ES,1566177501,82.0,42.56,-2.36,61.0,5.82
404,palabuhanratu,,,,,,,,
405,lotofaga,26.0,WS,1566177507,70.0,-13.98,-171.86,87.01,11.99
406,vanavara,100.0,RU,1566177509,91.0,60.35,102.28,55.2,4.27
407,maningrida,17.0,AU,1566177512,55.0,-12.05,134.23,82.2,7.74
408,saleaula,,,,,,,,
409,chifeng,37.0,CN,1566177519,51.0,42.27,118.96,67.26,3.87
410,miranorte,,,,,,,,
411,orocue,36.0,CO,1566177524,77.0,4.79,-71.34,78.06,3.36
412,lakatoro,55.0,VU,1566177527,64.0,-16.11,167.42,76.08,1.28
413,gogrial,,,,,,,,
414,chapais,1.0,CA,1566177532,73.0,49.78,-74.86,69.8,10.29
415,burica,,,,,,,,
416,suraabad,0.0,AZ,1566177538,72.0,40.82,49.47,64.4,7.65
417,gari,100.0,RU,1566177540,81.0,59.43,62.35,53.58,3.76
418,faanui,46.0,PF,1566177543,77.0,-16.48,-151.75,79.14,16.17
419,shenzhen,40.0,CN,1566177546,79.0,22.54,114.05,86.0,5.82
420,grand river south east,,,,,,,,
421,kadykchan,,,,,,,,
422,dalaba,100.0,GN,1566177554,99.0,10.69,-12.25,69.6,4.03
423,nawabshah,0.0,PK,1566177557,78.0,26.25,68.4,80.6,9.17
424,krasnoselkup,,,,,,,,
425,shieli,0.0,KZ,1566177562,38.0,44.18,66.74,72.66,12.93
426,kazalinsk,,,,,,,,
427,comodoro rivadavia,0.0,AR,1566177568,48.0,-45.87,-67.48,32.0,5.82
428,pacific grove,75.0,US,1566177570,68.0,36.62,-121.92,71.01,11.41
429,hukuntsi,0.0,BW,1566177573,27.0,-23.98,21.76,57.18,11.52
430,samarai,23.0,PG,1566177576,69.0,-10.62,150.67,76.44,8.32
431,nguiu,,,,,,,,
432,road town,40.0,VG,1566177536,70.0,18.42,-64.62,84.2,10.29
433,belmonte,16.0,PT,1566177584,69.0,40.36,-7.35,64.0,3.53
434,dalvik,75.0,SE,1566177588,93.0,57.79,14.13,55.4,10.29
435,carutapera,0.0,BR,1566177590,88.0,-1.2,-46.02,76.26,4.09
436,wexford,75.0,US,1566177593,74.0,40.63,-80.06,80.6,9.17
437,moose factory,20.0,CA,1566177596,65.0,51.26,-80.61,77.0,8.05
438,lamu,67.0,CN,1566177599,75.0,35.77,102.37,60.96,1.3
439,ankang,76.0,CN,1566177601,93.0,32.73,108.99,70.86,2.95
440,katrineholm,100.0,SE,1566177604,100.0,59.0,16.21,59.0,5.82
441,sfantu gheorghe,0.0,RO,1566177607,82.0,44.65,26.83,70.0,2.24
442,gangotri,,,,,,,,
443,padang,37.0,ID,1566177612,82.0,-0.92,100.36,81.12,14.79
444,channel-port aux basques,100.0,CA,1566177615,87.0,47.57,-59.14,64.74,13.85
445,sao gabriel da cachoeira,15.0,BR,1566177618,64.0,-0.13,-67.09,77.34,3.09
446,labuhan,56.0,ID,1566177621,75.0,-2.54,115.51,78.42,0.87
447,aragarcas,56.0,BR,1566177624,39.0,-15.9,-52.25,76.8,2.82
448,taoudenni,86.0,ML,1566177627,13.0,22.68,-3.98,102.18,9.13
449,dakar,20.0,SN,1566177629,94.0,14.69,-17.45,73.4,6.93
450,ketchikan,40.0,US,1566177609,39.0,55.34,-131.65,62.6,11.41
451,russell,1.0,US,1566177635,69.0,38.9,-98.86,86.0,6.93
452,longhua,99.0,CN,1566177638,78.0,29.21,106.21,81.66,3.02
453,eureka,75.0,US,1566177345,87.0,40.8,-124.16,71.01,4.7
454,hare bay,90.0,CA,1566177643,77.0,48.86,-53.99,64.4,11.41
455,izumo,75.0,JP,1566177646,78.0,35.37,132.75,82.4,5.82
456,ouallam,46.0,NE,1566177649,50.0,14.32,2.08,89.22,11.52
457,lata,21.0,IN,1566177652,85.0,30.78,78.62,37.38,2.84
458,najran,5.0,SA,1566177655,22.0,17.54,44.22,77.0,2.24
459,rocha,46.0,UY,1566177658,72.0,-34.48,-54.34,39.9,8.37
460,liezen,21.0,AT,1566177660,82.0,47.57,14.24,72.0,2.24
461,meyungs,,,,,,,,
462,tromso,90.0,NO,1566177666,93.0,69.65,18.96,57.2,8.05
463,scottsburgh,,,,,,,,
464,rongcheng,14.0,CN,1566177671,39.0,37.16,122.42,75.99,4.0
465,gravelbourg,41.0,CA,1566177674,34.0,49.88,-106.56,73.74,14.97
466,benguela,67.0,AO,1566177677,87.0,-12.58,13.4,67.44,12.53
467,coaticook,1.0,CA,1566177680,83.0,45.13,-71.8,73.4,2.93
468,stykkisholmur,31.0,IS,1566177683,72.0,65.08,-22.73,43.86,11.88
469,herat,0.0,AF,1566177685,27.0,34.35,62.22,62.6,10.29
470,mys shmidta,,,,,,,,
471,hobyo,5.0,SO,1566177691,78.0,5.35,48.53,74.1,21.65
472,mount isa,0.0,AU,1566177552,20.0,-20.73,139.49,62.6,24.16
473,coahuayana,99.0,MX,1566177696,81.0,18.62,-100.35,82.38,2.42
474,kuantan,75.0,MY,1566177699,94.0,3.82,103.33,77.0,2.3
475,rungata,,,,,,,,
476,lakes entrance,69.0,AU,1566177705,63.0,-37.88,147.99,51.01,4.0
477,saint-pierre,0.0,FR,1566177707,100.0,48.95,4.24,62.6,4.7
478,galesong,20.0,ID,1566177625,78.0,-5.32,119.37,77.0,3.36
479,gainesville,20.0,US,1566177665,100.0,29.65,-82.33,75.99,4.7
480,alekseyevsk,67.0,RU,1566177716,96.0,57.84,108.35,49.26,2.68
481,macaubas,80.0,BR,1566177718,40.0,-13.02,-42.7,74.46,4.65
482,cordoba,0.0,AR,1566177427,35.0,-27.78,-67.24,50.16,5.59
483,seoul,20.0,KR,1566177452,78.0,37.57,126.98,80.6,3.36
484,daxian,,,,,,,,
485,pahrump,1.0,US,1566177730,5.0,36.21,-115.98,98.6,20.8
486,champerico,90.0,MX,1566177733,94.0,16.38,-93.6,73.4,3.36
487,mareeba,3.0,AU,1566177736,53.0,-16.99,145.42,80.01,12.75
488,meulaboh,98.0,ID,1566177738,79.0,4.14,96.13,80.76,7.74
489,dzhubga,86.0,RU,1566177741,87.0,44.32,38.7,61.86,4.34
490,umzimvubu,,,,,,,,
491,escanaba,1.0,US,1566177628,64.0,45.75,-87.06,73.4,8.05
492,goundi,68.0,TD,1566177749,96.0,9.36,17.37,71.94,2.35
493,savannah bight,78.0,HN,1566177752,74.0,16.45,-85.85,83.64,26.84
494,vila franca do campo,75.0,PT,1566177755,93.0,37.72,-25.43,66.2,10.29
495,hay river,75.0,CA,1566177758,76.0,60.82,-115.79,51.8,8.05
496,skalistyy,,,,,,,,
497,atbasar,100.0,KZ,1566177763,73.0,51.81,68.36,66.72,8.08
498,key largo,1.0,US,1566177566,79.0,25.09,-80.45,86.0,4.7
499,ukiah,1.0,US,1566177731,37.0,39.15,-123.21,84.2,8.05
500,minna,97.0,NG,1566177771,93.0,9.62,6.55,74.28,1.88
501,buraydah,20.0,SA,1566177774,34.0,26.33,43.97,80.6,4.7
502,buchanan,75.0,LR,1566177777,94.0,5.88,-10.05,75.2,11.86
503,san quintin,100.0,PH,1566177779,83.0,17.54,120.52,78.96,2.3
504,guymon,1.0,US,1566177782,32.0,36.68,-101.48,93.2,9.17
505,umm lajj,0.0,SA,1566177785,68.0,25.02,37.27,87.78,12.46
506,asyut,0.0,EG,1566177788,45.0,27.18,31.19,82.4,11.41
507,vila,75.0,IT,1566177791,78.0,45.18,8.4,75.0,2.24
508,bernay,0.0,FR,1566177793,93.0,49.09,0.6,57.99,8.05
509,bur gabo,,,,,,,,
510,presidencia roque saenz pena,100.0,AR,1566177799,49.0,-26.79,-60.44,62.4,13.49
511,tigil,20.0,RU,1566177801,55.0,57.8,158.67,67.62,4.5
512,broken hill,0.0,AU,1566177804,46.0,-31.97,141.45,51.8,19.46
513,eirunepe,99.0,BR,1566177807,71.0,-6.66,-69.87,78.42,1.32
514,rawannawi,,,,,,,,
515,derzhavinsk,81.0,KZ,1566177813,57.0,51.1,66.31,69.6,2.33
516,medina del campo,0.0,ES,1566177815,59.0,41.31,-4.92,68.0,4.7
517,rio branco,41.0,BR,1566177818,58.0,-9.98,-67.82,84.2,4.7
518,hit,0.0,IQ,1566177821,29.0,33.64,42.83,80.76,2.24
519,bambous virieux,75.0,MU,1566177824,94.0,-20.34,57.76,69.01,5.82
520,fort-shevchenko,0.0,KZ,1566177826,48.0,44.51,50.26,79.86,21.79
521,kisangani,76.0,CD,1566177829,77.0,0.52,25.21,71.4,0.2
522,marseille,0.0,FR,1566177705,88.0,43.3,5.37,73.0,4.7
523,enshi,65.0,CN,1566177835,77.0,30.29,109.48,71.94,5.7
524,sao bras de alportel,0.0,PT,1566177837,73.0,37.15,-7.89,75.2,5.82
525,laje,8.0,BR,1566177840,98.0,-13.18,-39.42,64.74,4.92
526,yambio,,,,,,,,
527,bima,34.0,ID,1566177767,77.0,-8.45,118.73,73.02,3.15
528,monte azul,71.0,BR,1566177848,49.0,-15.15,-42.87,69.6,3.91
529,kapit,98.0,MY,1566177851,95.0,2.02,112.94,73.74,3.15
530,diego de almagro,0.0,CL,1566177854,80.0,-26.39,-70.05,47.28,1.21
531,seidu,5.0,NG,1566177857,97.0,8.32,4.47,70.68,6.22
532,craig,1.0,US,1566177634,12.0,40.52,-107.55,86.0,6.93
533,kavkazskiy,84.0,RU,1566177862,84.0,45.73,39.01,66.54,2.75
534,myitkyina,98.0,MM,1566177865,98.0,25.38,97.4,72.84,1.3
535,eldikan,,,,,,,,
536,brodokalmak,90.0,RU,1566177870,100.0,55.57,62.07,63.0,4.47
537,kununurra,0.0,AU,1566177873,18.0,-15.77,128.74,80.6,16.11
538,olafsvik,,,,,,,,
539,puerto del rosario,0.0,ES,1566177751,88.0,28.5,-13.86,73.4,14.99
540,bubaque,100.0,GW,1566177881,84.0,11.28,-15.83,78.78,17.63
541,nouadhibou,3.0,MR,1566177884,88.0,20.93,-17.03,73.4,6.93
542,lac-megantic,1.0,CA,1566177886,94.0,45.58,-70.88,69.8,2.24
543,evensk,45.0,RU,1566177889,62.0,61.92,159.24,62.22,4.21
544,kendari,75.0,ID,1566177892,85.0,-3.99,122.52,76.8,2.53
545,bonavista,100.0,CA,1566177895,82.0,48.65,-53.11,63.0,8.01
546,santa cruz,19.0,BR,1566177897,82.0,-6.22,-36.02,69.42,12.97
547,richards bay,0.0,ZA,1566177900,77.0,-28.77,32.06,67.62,22.88
548,hailey,5.0,US,1566177867,20.0,43.52,-114.32,82.99,4.7
549,yeppoon,0.0,AU,1566177906,44.0,-23.13,150.74,75.2,5.82
550,tepechitlan,56.0,MX,1566177908,75.0,21.67,-103.33,71.22,5.95
551,kathmandu,75.0,NP,1566177882,94.0,27.71,85.32,73.4,1.07
552,tura,93.0,RU,1566177914,48.0,64.27,100.22,61.14,2.51
553,aplahoue,12.0,BJ,1566177917,95.0,6.93,1.68,72.66,6.58
554,yining,18.0,CN,1566177919,71.0,29.04,114.56,79.32,0.65
555,muroto,75.0,JP,1566177922,88.0,33.37,134.14,77.0,8.05
556,itoman,75.0,JP,1566177925,88.0,26.12,127.67,82.4,8.05
557,antalya,0.0,TR,1566177928,36.0,36.9,30.69,79.0,11.41
558,wilmington,75.0,US,1566177931,69.0,39.75,-75.55,80.01,5.91
559,fare,0.0,PF,1566177785,78.0,-16.7,-151.02,78.78,16.84
560,comachuen,90.0,MX,1566177936,94.0,19.62,-101.9,68.0,3.0
561,gomel,,,,,,,,
562,gigmoto,58.0,PH,1566177941,77.0,13.78,124.39,82.56,5.61
563,cortes,47.0,PH,1566177944,70.0,9.28,126.19,81.66,2.17
564,beba,20.0,CU,1566177947,78.0,22.44,-79.73,80.6,9.17
565,kiunga,100.0,PG,1566177950,92.0,-6.12,141.3,75.0,4.97
566,vao,88.0,EE,1566177953,61.0,59.1,26.19,61.86,10.27
567,banjarmasin,20.0,ID,1566177955,83.0,-3.32,114.59,78.8,2.24
568,rambouillet,90.0,FR,1566177958,87.0,48.65,1.83,61.0,3.36
569,ordzhonikidze,95.0,UA,1566177961,85.0,44.96,35.36,62.22,4.47
570,kihei,40.0,US,1566177875,58.0,20.76,-156.45,87.8,19.46
571,bontang,35.0,ID,1566177966,91.0,0.12,117.47,76.8,4.76
572,uthal,14.0,PK,1566177969,77.0,25.81,66.62,80.22,5.53
573,gizo,20.0,IL,1566177972,78.0,31.8,34.94,77.0,5.82
574,toropets,6.0,RU,1566177975,97.0,56.5,31.64,52.14,2.48
575,west kilbride,52.0,GB,1566177977,93.0,55.69,-4.86,55.99,9.17
576,okhotsk,100.0,RU,1566177980,57.0,59.36,143.24,63.66,11.12
577,santa marta,75.0,CO,1566177983,83.0,11.24,-74.21,82.4,2.24
578,agadez,50.0,NE,1566177986,27.0,16.97,7.99,95.16,7.25
579,yulara,0.0,AU,1566177988,40.0,-25.24,130.99,51.8,17.22
580,oussouye,90.0,SN,1566177991,94.0,12.49,-16.54,77.0,9.17
581,suntar,99.0,RU,1566177994,95.0,62.16,117.65,53.76,2.55
582,ostrovnoy,32.0,RU,1566177997,70.0,68.05,39.51,54.66,16.49
583,luderitz,0.0,NA,1566178000,93.0,-26.65,15.16,55.4,8.05
584,waingapu,0.0,ID,1566178002,59.0,-9.65,120.26,75.18,9.01
585,goba,2.0,ET,1566178005,89.0,7.01,39.97,45.66,2.91
586,nagua,64.0,DO,1566177822,90.0,19.37,-69.85,76.44,7.65
587,menongue,0.0,AO,1566178011,30.0,-14.66,17.68,56.1,7.45
588,kuching,75.0,MY,1566178013,78.0,1.56,110.34,82.4,3.36
589,kvam,7.0,NO,1566178016,98.0,61.67,9.69,37.92,4.81
590,majene,92.0,ID,1566177754,81.0,-3.54,118.97,79.86,26.4
591,narasannapeta,100.0,IN,1566178022,90.0,18.42,84.04,77.16,3.56
592,banepa,75.0,NP,1566177933,94.0,27.63,85.52,73.4,4.43
593,surab,0.0,PK,1566177842,20.0,28.49,66.26,69.24,2.3
594,sinop,24.0,TR,1566178030,79.0,42.03,35.15,66.0,7.29
595,bestobe,100.0,KZ,1566178033,66.0,52.5,73.1,67.62,10.63
596,natal,40.0,BR,1566178036,83.0,-5.81,-35.21,75.2,6.93
597,casas grandes,55.0,MX,1566178038,48.0,30.15,-110.24,86.16,3.33
598,arawa,43.0,ID,1566178041,76.0,-3.93,119.75,78.06,8.79
599,mutoko,0.0,ZW,1566178044,91.0,-17.4,32.23,48.9,3.18
600,nabire,89.0,ID,1566178047,78.0,-3.36,135.5,76.44,5.19
601,acajutla,100.0,SV,1566178050,70.0,13.59,-89.83,83.64,9.28
602,karasburg,0.0,NA,1566178052,45.0,-28.01,18.75,55.56,7.25
603,sancoale,75.0,IN,1566178055,94.0,15.37,73.9,78.8,2.24
604,bar harbor,1.0,US,1566178058,93.0,44.39,-68.2,66.99,3.36
605,turukhansk,100.0,RU,1566178061,66.0,65.8,87.96,58.44,6.93
606,kandiari,0.0,PK,1566178063,62.0,26.92,68.52,85.08,14.9
607,paradwip,,,,,,,,
608,sungai besar,75.0,MY,1566178069,88.0,3.68,100.99,78.8,3.36
609,laramie,1.0,US,1566177788,13.0,41.31,-105.59,84.2,14.99
610,antofagasta,90.0,CL,1566178074,71.0,-23.65,-70.4,55.4,9.17
611,saint-joseph,0.0,FR,1566178077,88.0,43.56,6.97,71.6,3.36
612,qiryat shemona,0.0,IL,1566178080,69.0,33.21,35.57,78.8,6.93
613,polyarnyy,0.0,RU,1566178083,67.0,69.2,33.45,57.2,11.18
614,gobabis,0.0,NA,1566178085,17.0,-22.45,18.97,62.6,6.93
615,batagay-alyta,100.0,RU,1566178088,63.0,67.8,130.41,56.1,4.97
616,linhares,55.0,BR,1566178091,80.0,-19.38,-40.06,67.8,2.06
617,ratanpur,40.0,BD,1566178094,83.0,23.79,90.91,82.4,6.24
618,sembakung,75.0,ID,1566178096,94.0,3.82,117.25,78.8,1.54
619,jalingo,99.0,NG,1566178099,93.0,10.3,10.93,71.76,5.1
620,durban,9.0,CA,1566178102,55.0,51.93,-101.44,62.22,11.52
621,republic,1.0,US,1566178105,20.0,48.65,-118.74,87.8,16.11
622,havre-saint-pierre,40.0,CA,1566178107,93.0,50.23,-63.6,60.8,6.93
623,kautokeino,100.0,NO,1566178110,95.0,69.01,23.04,53.94,16.13
624,mtambile,1.0,TZ,1566178113,78.0,-5.38,39.7,76.8,17.85
625,adzope,8.0,CI,1566178116,98.0,6.11,-3.86,71.04,3.09
626,porto novo,0.0,BR,1566178119,64.0,-23.68,-45.44,68.0,5.82
627,broome,2.0,GB,1566178121,76.0,52.47,1.45,57.99,12.75
